title,exercise_path
Butterfly Sit-up (Ab Pad),/exercise/1338
Candlestick Roll,/exercise/816
Cat Cow Stretch,/exercise/1295
Chair Push-up,/exercise/250
Chair Squat,/exercise/903
Chest Dips,/exercise/1455
Chest Fly (Straps),/exercise/50
Chest Fly Press (Dumbbell),/exercise/1462
"Chest Fly, Offset Stance (Straps)",/exercise/51
"Chest Fly, Single-leg Flexed (Straps)",/exercise/52
"Chest Press (BOSU Dome Up, Dumbbell)",/exercise/830
Chest Press (Double Straps),/exercise/347
Chest Press (Kettlebell),/exercise/811
Chest Press (Machine),/exercise/54
Chest Press (Resistance Band),/exercise/279
Chest Press (Stability Ball),/exercise/774
Chest Press (Straps),/exercise/53
Chest Press Single-arm (Straps),/exercise/59
Chest Press Single-leg Abducted (Straps),/exercise/60
Chest Press with Rotation (Cable),/exercise/525
"Chest Press, Advanced (Straps)",/exercise/56
"Chest Press, Single-leg Extended (Straps)",/exercise/61
Chest Supported Front Raise (Dumbbell),/exercise/1267
Chest Supported Front Raises (2 Dumbbells),/exercise/1266
Chin Biceps Curls (Bodyweight),/exercise/35
Chop (Cable),/exercise/543
Clean (Barbell),/exercise/95
Clean (sandbag),/exercise/917
Clean and Jerk (Kettlebell) 3,/exercise/502
"Clean and Jerk, GS (Kettlebell)",/exercise/500
Clean and Split Jerk (Barbell),/exercise/1478
Close Grip Australian Pull-up,/exercise/876
Close Grip Bench Press (Barbell),/exercise/55
Close Grip Floor Press (Kettlebell),/exercise/812
Close Grip Lat Pull-down (Machine),/exercise/1181
Close Grip Overhead Press,/exercise/1000
Close Grip Push-up (Bodyweight),/exercise/245
Commando Pull-Up (Mixed Grip Pull-Up),/exercise/26
Concentration Curls (Dumbbell),/exercise/64
Concentration Curls (Resistance Band),/exercise/65
Consecutive Broad Jumps,/exercise/739
Contralateral Load Reverse Lunge (Sandbag),/exercise/930
Contralateral Load Split Squat (Sandbag),/exercise/1252
Copenhagen Hip Adduction,/exercise/1054
Core Rolling (Stability Ball),/exercise/1045
Correcting the SLDL Deadlift with Mike Boyle,/exercise/597
Cossack Squat,/exercise/898
Crab Walk,/exercise/1310
Cross Body Shoulder Stretch,/exercise/79
Cross Walk (Kettlebell),/exercise/1231
Crossing Balance Lunge (Straps),/exercise/69
Crossover Fly (Cable),/exercise/70
Crossover Push-up (Medicine Ball),/exercise/551
Crossover Step-up,/exercise/1153
Crunch with Hip Flexion,/exercise/575
"Crunch, Hands (Straps)",/exercise/71
Curtsy Lunge,/exercise/1445
Cyclist Front Squat (Barbell),/exercise/1009
Cyclist Goblet Squat (Kettlebell),/exercise/1008
Cyclist Squat (Barbell),/exercise/1010
Dead Bug (Sandbag),/exercise/933
Dead Hangs,/exercise/1362
Deadlift (Barbell),/exercise/72
Decline Bench Press (Dumbbell),/exercise/75
Decline Bench Press(Barbell),/exercise/74
Decline Crunches (Machine),/exercise/77
Decline Crunches (Weight Plate),/exercise/76
Decline Flys (Cable),/exercise/46
Decline Sit-up,/exercise/600
Deep Full Squat (Barbell),/exercise/322
Deep Squat with Spinal Flexion Stretch,/exercise/1365
Deficit Bulgarian Split Squat,/exercise/718
Deficit Bulgarian Split Squat (Kettlebell),/exercise/1205
Deficit Bulgarian Split Squat (Sandbag),/exercise/908
Depth Jump,/exercise/724
Depth Jumps Into Hurdle Jump,/exercise/742
Diagonal Chop and Lift (Medicine Ball),/exercise/505
Diagonal Lifting (Cable),/exercise/576
Diamond Push-up (Bodyweight),/exercise/675
Dip Triceps (Machine),/exercise/80
Dips,/exercise/377
Dips (Parallettes),/exercise/983
Dips (Rings),/exercise/1219
Donkey kick (Resistance Band on foot),/exercise/140
Donkey Kick (Resistance Band),/exercise/1170
Double Kettlebell Deadlift,/exercise/1201
Double Unders,/exercise/806
Double Wave (Battle Rope),/exercise/599
Dowel Pullover,/exercise/1410
Downward-Facing Dog (Adho Mukha Svanasana),/exercise/81
Drag Curl (Barbell),/exercise/967
Drag Curl (Dumbbell),/exercise/968
Dragon Flag,/exercise/817
Dynamic Mobility Mountain Climber,/exercise/1312
Dynamic Tuck Front Lever,/exercise/1368
Eccentric Biceps Curl (Resistance Band),/exercise/711
Eccentric Handstand Push-up (Parallettes),/exercise/1375
Eccentric High Biceps Curls (Resistance Band),/exercise/611
Eccentric Muscle-up,/exercise/1320
Eccentric Pull-up,/exercise/1234
Eccentric Push-up,/exercise/1337
Eccentric Triceps Dips,/exercise/1340
Eccentric Triceps Extension (Resistance Band),/exercise/610
Elbow Bird Dog Plank,/exercise/836
Elbow Plank,/exercise/1218
Elbow Plank (BOSU Dome Down),/exercise/826
Elbows Plank Variation (Stability Ball),/exercise/648
Elevated 90/90 Hip Rotation,/exercise/1443
Elevated Pike Push-up,/exercise/998
Elevated Push-up,/exercise/1171
Elevated Side Plank with Hip Adduction,/exercise/1039
Exercises for Knee Pain,/exercise/825
Extended Elbow Plank,/exercise/1388
Face Pulls with External Rotation (Cable),/exercise/1166
Face The Wall Squat,/exercise/1419
Farmer's Walk (Loaded Carries),/exercise/845
Feet Raised Hip Thrust,/exercise/1148
Fire Hydrant,/exercise/1137
Fire Hydrants (Resistance Band),/exercise/1167
Fly (Dumbbell),/exercise/91
Focused Thoracic Extension (Foam Roller),/exercise/1296
Foot Arch Exercise (Resistance Band),/exercise/700
Foot Evertors Peroneus Stretch,/exercise/427
Forward Bend Lat Stretch,/exercise/422
Forward Bend Shoulder Shrugs (Cable),/exercise/1437
Forward Bend Shoulder Shrugs (Dumbbells),/exercise/1438
Forward Leaning Seated Hip Abduction (Machine),/exercise/1454
Forward Sled Drag,/exercise/1235
Forward Step Down Test (FSD),/exercise/1050
Frankenstein Walk,/exercise/1360
Freestanding Handstand Push-up,/exercise/1314
Freestanding Kipping Handstand Push-up,/exercise/1318
Frenchy Pull-up,/exercise/1019
Frog Hip Thrust,/exercise/1147
Front Carry (Double Kettlebell),/exercise/1232
Front Jump (Box),/exercise/720
Front Lat Pulldown (Plate-loaded),/exercise/1466
Front Lever,/exercise/589
Front Loaded Reverse Lunge,/exercise/717
Front Lunge (Barbell),/exercise/1211
Front Plank to Side Plank,/exercise/1236
Front Raise (Cable),/exercise/92
Front Raise (Dumbbell),/exercise/93
Front Raise (Plate),/exercise/1418
Front Reaching Lunge (Kettlebell),/exercise/493
Front Slide Plank (Fit Skate),/exercise/630
Front Squat (Barbell),/exercise/94
Front Squat (Sandbag),/exercise/901
Front Squat Arms Crossed,/exercise/1465
Front Squat Isometric Hold,/exercise/961
Full Plank (BOSU Dome Down),/exercise/827
Full Squat (Sandbag),/exercise/922
Gastrocnemius & Soleus Stretch (Stairs),/exercise/18
"Gastrocnemius, Soleus and Gluteus Maximus Stretch",/exercise/97
Glute Bridge (Dumbbell),/exercise/1250
Glute Kick Back Plank (Stability Ball),/exercise/638
Gluteus Maximus Release (Foam Roller),/exercise/688
"Gluteus Maximus, Cross Fiber Release (Foam Roller)",/exercise/687
Gluteus Medius Wall Press,/exercise/804
Goblet Forward Lunge (Kettlebell),/exercise/1199
Goblet Lateral Lunge (Kettlebell),/exercise/905
Goblet Lateral Split Squat,/exercise/925
Goblet Lunge (Kettlebell),/exercise/870
Goblet Reverse Lunge (Dumbbell),/exercise/867
Goblet Slider Lunge (Dumbbell),/exercise/865
Goblet Slider Lunge (Kettlebell),/exercise/866
Goblet Squat (BOSU Dome Down),/exercise/834
Goblet Squat (Dumbbell),/exercise/441
Good Morning (Kettlebell),/exercise/488
Good Morning Bent Knee (Sandbag),/exercise/909
Good Morning Bent Legs (Barbell),/exercise/103
Good Morning Hip Hinge and Lunge (Barbell),/exercise/764
Good Morning Hip Hinge and Lunge (kettlebell),/exercise/763
Good Morning Straight Legs (Barbell),/exercise/104
Grappler's Throw (Battle Rope),/exercise/795
Hack Squat (Machine),/exercise/1447
Half Kneeling Arnold Press (Dumbbell),/exercise/1253
Half Kneeling Chop (Cable),/exercise/1026
Half Kneeling Landmine Press,/exercise/759
Half Kneeling Shoulder Press,/exercise/1007
Half Kneeling Unilateral Shoulder Press (Kettlebell),/exercise/1254
Half Moon Pose (Ardha Chandrasana),/exercise/799
Half Standing Forward Bend (Ardha Uttanasana),/exercise/837
Half-Kneeling Single-Arm Row (cable),/exercise/1463
Hammer Curl (Cable),/exercise/1164
Hammer Curls (Dumbbell),/exercise/105
Hammer Wide Grip Pull-up,/exercise/1184
Hamstring and Calf Stretch,/exercise/106
Hamstring and Low Back stretch,/exercise/107
Hamstring Release (Foam Roller),/exercise/1285
Hamstring Stretch,/exercise/108
"Hamstring, Calf and Latissimus Stretch",/exercise/1185
"Hamstring, Obliques and Latissimus Stretch",/exercise/418
Hand Release Burpee (Bodyweight),/exercise/1313
Hand Release Push-up,/exercise/897
Hands Plank (Straps),/exercise/238
Handstand,/exercise/798
Handstand Push-up (Bodyweight),/exercise/591
Handstand Push-up Facing a Wall,/exercise/1377
Hang Clean (Barbell),/exercise/111
Hang Power Clean (Barbell),/exercise/112
Hanging Abdominal Reverse Curl,/exercise/1237
Hanging Hip Flexion (Bodyweight),/exercise/697
Hanging Hollow Hold,/exercise/1238
Hanging Knee Raise from 90 Degrees,/exercise/1193
"Hanging Leg Raise with PPT, Knees to Chest",/exercise/114
Hanging Pelvic Tilt,/exercise/1192
Hanging Posterior Pelvic Tilt (Captain's Chair),/exercise/115
"Hanging PPT, Straight Legs",/exercise/116
Hanging Windshield Wiper,/exercise/820
Happy Baby Pose,/exercise/690
Heel Hook,/exercise/842
Heel Slide,/exercise/410
High Back Row (Straps),/exercise/117
High Biceps Curls (Resistance Band),/exercise/118
High Knee Running,/exercise/1315
High Pulley Overhead Triceps Extension,/exercise/1239
High Row (Cable Bar),/exercise/526
High-Low Plank,/exercise/1354
Hindu Push-up,/exercise/987
Hindu Push-up Narrow Grip,/exercise/988
Hip Abduction with Lateral Raise (Resistance Band),/exercise/781
Hip Abductors Stretch,/exercise/126
Hip Adduction with Internal Rotation (Stability ball),/exercise/789
Hip Adductors and Hamstrings Stretch,/exercise/425
"Hip Adductors Stretch, Lunge",/exercise/129
"Hip Adductors Stretch, Sitting",/exercise/130
"Hip adductors stretch, standing (side-lunge)",/exercise/131
Hip Assisted Planche (Resistance Band),/exercise/1332
Hip Extension (Bodyweight),/exercise/132
Hip Extension (Machine),/exercise/134
Hip Extension (Resistance Band),/exercise/135
Hip Extension (Roman Chair),/exercise/136
"Hip Extension, Back Kicks (Cable)",/exercise/138
Hip External Rotation Muscles Stretch,/exercise/100
Hip Flexion with PPT,/exercise/141
Hip Flexor Stretch,/exercise/142
Hip Flexors and Lateral Line Stretch,/exercise/710
Hip Hike (Resistance Band),/exercise/604
Hip Hinge,/exercise/439
Hip Hitch,/exercise/801
Hip Hitch (Stability Ball),/exercise/810
"Hip Horizontal Abduction, CKC, Variation (Bodyweight)",/exercise/430
Hip Thrust (Barbell),/exercise/143
Hip Thrust (Bodyweight),/exercise/1195
Hip Thrust (Double Banded),/exercise/1146
Hip Thrust (Dumbbell),/exercise/1210
Hip Thrust (Machine),/exercise/1255
Hip Thrust (Medicine Ball),/exercise/558
Hip Thrust (Mini Band),/exercise/1144
Hip Thrust (Resistance Band and Barbell),/exercise/1143
Hip Thrust (Resistance Band),/exercise/1145
Hip Thrust (Sandbag),/exercise/915
Hollow Body Flutter Kicks,/exercise/1316
Hollow Body Flutter Kicks (BOSU),/exercise/1415
Hollow Body Hold,/exercise/821
Hollow Rock,/exercise/822
Horizontal T- Bar Rows,/exercise/364
Hundred with Straight Legs (Bodyweight),/exercise/458
Hurdle Hop with Bounce,/exercise/748
Hurdle Jump and Stick,/exercise/746
I Shoulder Fly (Straps),/exercise/144
Ice Cream Maker (Bodyweight),/exercise/669
Ilio-psoas Stretch,/exercise/145
Incline Bench (Cable Fly),/exercise/1179
Incline Bench Press (Barbell),/exercise/311
Incline Bench Press (Dumbbells),/exercise/146
Incline Bench Press (Smith Machine),/exercise/1481
Incline Bench Tricep Push-down,/exercise/840
Incline Biceps Curls (Dumbbell),/exercise/147
Incline Chest Press (Machine),/exercise/1283
Incline Chest Press (Resistance Band),/exercise/151
Incline Plank with Hip Flexion (Stability Ball),/exercise/651
Incline Shoulder Press (Smith Machine),/exercise/1452
Infraspinatus Stretch,/exercise/152
Inside Grip Chest Press (Straps),/exercise/58
Interval Pull-up,/exercise/1023
Inverted Deadlift,/exercise/1371
Inverted Row (Bar),/exercise/266
Inverted Row (Bar) - Advanced Variation,/exercise/1392
Inverted Row (Ring),/exercise/267
"Inverted Row, L-Tuck",/exercise/1370
ITB Release (Foam Roller),/exercise/686
Jack Knife Crunch,/exercise/769
Jack Knife Sit-up,/exercise/1328
Jump (Rope),/exercise/727
Jump Lunge (Dumbbell),/exercise/1035
Jump Swing (Kettlebell),/exercise/680
Jumping Chair Push-up,/exercise/248
Jumping Jacks,/exercise/1364
Jumping Muscle-up,/exercise/1321
Jumping Pull-up (Bodyweight),/exercise/455
Jumping Push-up,/exercise/531
Kang Squat (Barbell),/exercise/1018
Kipping,/exercise/154
Kipping Handstand Push-up,/exercise/1280
Kipping Handstand Push-up (Parallettes),/exercise/1376
Kipping Muscle-up,/exercise/1269
Kipping Pull-up,/exercise/155
Kipping Pull-up Chest to Bar,/exercise/1379
Knee Elevated Pike Push-up,/exercise/1369
Knee Push-up (Bodyweight),/exercise/156
Knee To Wall Ankle Mobility Drill,/exercise/887
Kneeling Crunch (Cable),/exercise/1459
Kneeling Lateral Spinal Flexion (Resistance Band),/exercise/1416
Kneeling Oblique Rollout (Straps),/exercise/160
Kneeling Preacher Triceps Extension,/exercise/161
Kneeling Rollout (Straps),/exercise/162
Kneeling Side Plank with Hip Abduction,/exercise/1149
Kneeling Side Plank with Hip Abduction (Resistance Band),/exercise/1150
Kneeling Squat (Barbell),/exercise/442
Kneeling Squat (Dumbbell),/exercise/443
Kneeling Triceps Extension (Head Below Bench),/exercise/878
Kneeling Triceps Extension (Head to Bench),/exercise/880
Kneeling Triceps Extension (Sofa),/exercise/886
Kneeling Triceps Extension (Stability Ball),/exercise/777
Kneeling Triceps Extensions,/exercise/989
Knees to Elbows,/exercise/163
L-Sit (Bodyweight),/exercise/1249
L-Sit (Parallettes),/exercise/1248
L-Sit (Rings),/exercise/1220
L-Sit Back to Wall (Bodyweight),/exercise/1381
L-Sit Pull-up (Bodyweight),/exercise/655
L-Sit to Tuck L-Sit,/exercise/1356
L-Sit to Tuck L-Sit (Parallettes),/exercise/1319
Landmine Goblet Squat,/exercise/756
Landmine Reverse Lunge,/exercise/757
Landmine Reverse Lunge to Press,/exercise/760
Landmine shoulder press,/exercise/754
Landmine Squat,/exercise/1204
Landmine Squat Jumps,/exercise/767
Landmine Squat to Press,/exercise/761
Landmine Squat to Rotational Press,/exercise/766
Landmine Twist,/exercise/758
Lat Pull-down (Machine),/exercise/164
Lat Pull-down (Resistance Band),/exercise/969
Lateral Banded Hip Distraction,/exercise/890
Lateral Bound and Stick,/exercise/749
Lateral Bridge (Bodyweight),/exercise/226
Lateral Drag (Sandbag),/exercise/938
Lateral Hurdle Jumps,/exercise/744
Lateral Jumps (Sandbag),/exercise/919
Lateral Lunge (Barbell),/exercise/906
Lateral Lunge (Bodyweight),/exercise/904
Lateral Monkey Walk,/exercise/1334
Lateral Raise (Machine),/exercise/168
Lateral Raise One-leg (Resistance Band),/exercise/170
Lateral Raises (Cable),/exercise/171
Lateral Raises (Dumbbell),/exercise/172
Lateral Raises (Resistance Band),/exercise/173
Lateral Raises Scapular Plane,/exercise/174
Lateral Split Squat,/exercise/907
Lateral Split Squat (Barbell),/exercise/926
Lateral Step Down,/exercise/1053
Lateral Step-up,/exercise/1154
Lateral Walk (Resistance Band),/exercise/1133
Leaning Lateral Raise (Cable),/exercise/1440
Leg - Hip Raise (Bodyweight),/exercise/177
Leg Curl (Hanging Between Bars),/exercise/178
"Leg Curl, Bird Dog (Cable / Resistance Band)",/exercise/574
"Leg Curl, Prone (Machine)",/exercise/198
Leg Extension (Machine),/exercise/179
Leg Raises Plank,/exercise/784
Leg Tuck (LTK),/exercise/841
Levator Scapula and Neck Extensors Stretch,/exercise/184
Locust Pose (Salabhasana),/exercise/1031
Low And High Hurdle Jump,/exercise/741
Low Hurdle Jump,/exercise/733
Low Sled Push,/exercise/1241
Lower Trapezius Stretch,/exercise/188
Lunge (Perpendicular Band),/exercise/653
Lunge (Straps),/exercise/189
Lunge and Hop (Strap),/exercise/357
Lunge and Press (Kettlebell),/exercise/473
Lunge Overhead (Barbell),/exercise/490
"Lunge Stance, Biceps Curls (Resistance Band)",/exercise/447
Lunge with Hip Rotation (Sandbag),/exercise/902
Lying Biceps Curls (Low Pulley),/exercise/39
Lying Calf Raises (Machine),/exercise/196
Lying Chest Press (Machine),/exercise/1423
Lying Close Grip Lat Pulldown (Resistance Band),/exercise/197
Lying Hip Abduction (Resistance Band),/exercise/119
"Lying Hip Flexion (Cable, Resistance Band)",/exercise/577
Lying Hip Flexion with Bridge (Cable),/exercise/1180
Lying Jacks,/exercise/1134
Lying Lateral Flexion (Side Bends),/exercise/773
Lying Lateral Raise (Dumbbell),/exercise/169
Lying Leg Press (Machine),/exercise/181
Lying Pullover (Resistance Band),/exercise/200
Lying Row (Barbell),/exercise/31
Lying Scapular Protraction (Dumbbell),/exercise/1382
Lying Side Leg Raises,/exercise/201
Lying Triceps Extension,/exercise/970
Lying Triceps Extension (Barbell),/exercise/380
Lying Triceps Extension (Dumbbell),/exercise/381
Lying Triceps Extension (Resistance Band),/exercise/382
Mobility Plank,/exercise/895
Mobility Svanasana Dog,/exercise/899
Mobility Svanasana Dog with Spinal Rotation,/exercise/900
Monster Walk (Resistance Band),/exercise/1138
Mountain Climbers,/exercise/813
Mountain Climbers (Parallettes),/exercise/982
Muscle-up,/exercise/466
Muscle-up (Rings),/exercise/1226
Narrow Grip Push-up (Parallettes),/exercise/978
Narrow Stance Split Squat,/exercise/1294
Neck Extensors Stretch,/exercise/202
Neck Flexion (Bodyweight),/exercise/203
Neck Flexion (Cable),/exercise/204
Neck Flexor Stretch,/exercise/205
Neck Flexors and Lateral Flexors Stretch,/exercise/206
Neck Lateral Flexion,/exercise/207
Neck Lateral Flexors Stretch,/exercise/208
Neck Rotation (Cable),/exercise/209
Nordic Hamstring Curls,/exercise/660
Oblique Crunch (Straps),/exercise/210
Oblique Crunches (Bodyweight),/exercise/211
Oblique Crunches (Weight),/exercise/212
Oblique Crunches with Hip Flexion (Cable),/exercise/1176
One and a Quarter Air Squat,/exercise/1029
One and a Quarter Back Squat,/exercise/955
One and a Quarter Front Squat,/exercise/959
One and a Quarter Goblet Squat,/exercise/956
One and a Quarter Overhead Squat,/exercise/957
One Leg Front Lever,/exercise/1216
One-arm (Sandbag Row),/exercise/916
One-arm Chest Fly (Cable),/exercise/48
One-arm Chest Fly (Resistance band),/exercise/332
One-arm Chest Fly with Rotation (Cable),/exercise/639
One-arm Chest Press with Rotational Lunge (Cable),/exercise/654
One-arm Clean (Kettlebell),/exercise/494
One-arm Clean and Jerk (Kettlebell),/exercise/468
One-arm Flys (Cable / Resistance Band),/exercise/260
One-arm Landmine Row,/exercise/762
One-arm Landmine Shoulder Press,/exercise/755
One-arm Preacher Curls (Dumbbell),/exercise/215
One-arm Push and Jerk (Kettlebell),/exercise/496
One-arm Push Press (Kettlebell),/exercise/495
"One-arm Push-down (Cable, Supinated Grip)",/exercise/753
One-arm Release Pull-up,/exercise/1021
One-arm Shoulder Press (Cable),/exercise/560
One-arm Swing (Kettlebell),/exercise/461
One-arm Upper Chest Fly (Cable / Resistance Band),/exercise/628
One-leg Back Lever,/exercise/846
One-leg Kneeling Hip Flexor Stretch,/exercise/217
One-leg Push-up,/exercise/775
One-leg Standing Quadriceps and Hip Flexor Stretch,/exercise/218
Overhead and Front Rack Carry (Kettlebell),/exercise/1240
Overhead Carry (Double Kettlebell),/exercise/1233
Overhead Chop (Training Bar),/exercise/544
Overhead Lunge (Plate),/exercise/491
Overhead Lunge (Sandbag),/exercise/924
Overhead Reach (Medicine Ball),/exercise/652
Overhead Shoulder Warm Up (Resistance Band),/exercise/1411
Overhead Shrug (Plate),/exercise/1389
Overhead Slam (Medicine Ball),/exercise/507
Overhead Squat (Barbell),/exercise/327
Overhead Squat (Dumbbell),/exercise/612
Overhead Squat (Sandbag),/exercise/928
Overhead Swing (Kettlebell),/exercise/487
Overhead Triceps Extensions,/exercise/752
Parallel Box Pistol Squat,/exercise/1385
Parallel Close Grip Lat Pull-down (Cable),/exercise/167
Parallel Front Squat (Barbell),/exercise/219
Parallel Squat (Barbell),/exercise/317
Pec Deck Fly (Machine),/exercise/221
Pectoralis and Anterior Deltoid Stretch,/exercise/222
Pectoralis Major Release (Ball),/exercise/1286
Pectoralis Minor Release (Ball),/exercise/1287
Pectoralis Stretch and Thoracic Mobility,/exercise/712
"Pectoralis, Biceps Brachii and Anterior Deltoid Stretch",/exercise/224
Pelvic Horizontal Rotation (Resistance Band),/exercise/1027
Pelvic Rotation (Cable),/exercise/524
Pelvic Tilt,/exercise/771
Peroneals stretch (Evertors),/exercise/228
Pike Push-up,/exercise/997
Pike Push-ups (Parallettes),/exercise/976
Piriformis Release,/exercise/1323
"Piriformis, Gluteus Maximus and Hip Medial Rotators Stretch",/exercise/230
Pistol Squat (Bodyweight),/exercise/627
Planche Lean,/exercise/1324
Planche Lean (Parallettes),/exercise/985
Plank,/exercise/232
Plank (Stability Ball),/exercise/637
Plank with Alternating Hand Raises,/exercise/668
Plank with Alternating Shoulder Taps,/exercise/1346
Plank with Knee Extension (Stability Ball),/exercise/658
Plantar Fascia Release (Ball),/exercise/1297
Plate Ground to Overhead,/exercise/1417
Pogo Jumps,/exercise/726
Pogo Jumps to a Tuck Jump,/exercise/725
Posterior Band Distraction,/exercise/891
Power Clean,/exercise/935
Power Clean and Press (Sandbag),/exercise/934
Power Slam (Battle Rope),/exercise/791
Power Snatch,/exercise/1212
Power Snatch (Dumbbell),/exercise/808
Preacher Biceps Curls (Machine),/exercise/234
Preacher Curls (Barbell),/exercise/235
Preacher Triceps Extension (Machine),/exercise/1471
Pressing the Big Toe Against the Floor,/exercise/701
Prisoner Kang Squat (Bodyweight),/exercise/1017
Prone Elbows Plank (Straps),/exercise/237
Prone Flutter Kicks (Cactus Arm Position),/exercise/1480
Prone Flutter Kicks (Hands Under Head),/exercise/1479
Prone Leg Curl (Stability Ball),/exercise/659
Prone Posterior Pelvic Tilt,/exercise/647
Prone PPT with Spinal Flexion,/exercise/649
Prone Quad Stretch,/exercise/252
Prone Shoulder Press (Stability Ball),/exercise/770
Prone Triceps Extension,/exercise/990
Prone Triceps Extensions (Parallettes),/exercise/993
Pseudo Planche Push-up,/exercise/847
